Nima Anari,UC Berkeley,2015
Jerry Cain,Stanford University,1997
Moses Charikar,Stanford University,2000
Chris Gregg,University of Virginia,2012
Cynthia Lee,UC San Diego,2009
Phil Levis,UC Berkeley,2005
Fei-Fei Li,California Institute of Technology,2005
Chris Manning,Stanford University,1994
Nick Parlante,Stanford University,-1
Chris Piech,Stanford University,2016
Keith Schwarz,Stanford University,2011
Nick Troccoli,Stanford University,2018
Mary Wootters,University of Michigan,2014
Julia Zelenski,Stanford University,1990
